postal,blk_no_RD_name
489007,11 JLN CHEMPAKA PUTEH
359109,11 JLN LATEH
468148,11 JLN POKOK SERUNAI
418784,11 JLN PUNAI
288762,11 JLN SENANDONG
308433,11 JLN TAN TOCK SENG
548396,11 JANSEN RD
339155,11 KALLANG PL
466003,11 KEW WALK
258678,11 LADY HILL RD
547825,11 LIM AH PIN RD
718865,11 LIM CHU KANG LANE 6F
398146,11 LOR 36 GEYLANG
399268,11 LOR 4 GEYLANG
416810,11 LOR MYDIN
508723,11 LOYANG WAY
228636,11 MAKEPEACE RD
308254,11 MALCOLM RD
308047,11 MOUNT ROSIE RD
437708,11 MUGLISTON RD
807817,11 NERAM CRES
128467,11 PANDAN CRES
609259,11 PANDAN RD
437560,11 PEBBLE LANE
627575,11 PIONEER TURN
556391,11 PLANTATION AVE
437407,11 RINGWOOD RD
437371,11 ROSE LANE
546239,11 ROSYTH AVE
546074,11 SANDILANDS RD
424228,11 SEA AVE
487511,11 SEA BREEZE GROVE
266661,11 SECOND AVE
618777,11 SECOND CHIN BEE RD
588282,11 SIAN TUAN AVE
628109,11 SIXTH LOK YANG RD
358233,11 SOMMERVILLE RD
786970,11 SPRINGSIDE DR
487335,11 SUNBIRD AVE
528729,11 TAMPINES CONCOURSE
545698,11 TEOW HOCK AVE
266584,11 THIRD AVE
168751,11 THIRD HOSPITAL AVE
535020,11 THRIFT DR
637361,11 TUAS STH AVE 5
637643,11 TUAS VIEW CRES
228120,11 UPP WILKIE RD
357962,11 WOLSKEL RD
159921,110 ALEXANDRA RD
466096,110 KEW DR
797562,110 SELETAR AEROSPACE VIEW
467109,110 SENNETT AVE
439822,110E ARTHUR RD
69931,111 AMOY ST
429849,111 CARPMAEL RD
239877,111 DEVONSHIRE RD
820111,111 EDGEFIELD PLAINS
229391,111 EMERALD HILL RD
545017,111 HIGHLAND RD
208559,111 KING GEORGE'S AVE
297838,111B WHITLEY RD
266317,112 CORONATION RD WEST
820112,112 EDGEFIELD PLAINS
289569,112 ENG NEO AVE
428802,112 EAST COAST RD
639593,112 PIONEER RD
535684,112 SURIN AVE
98743,112 WISHART RD
423608,112E TEMBELING RD
460113,113 BEDOK NTH ST 2
545016,113 HIGHLAND RD
278556,113 HOLLAND RD
297909,113 UNIVERSITY RD
460114,114 BEDOK NTH ST 2
820114,114 EDGEFIELD PLAINS
786824,114 LENTOR ST
425944,114 LOR J TELOK KURAU
208036,114 ROWELL RD
467113,114 SENNETT AVE
786501,114 SPRINGSIDE AVE
535395,114 TAI KENG GDNS
98744,114 WISHART RD
820115,115 EDGEFIELD PLAINS
417749,115 LENGKONG DUA
424528,115 ONAN RD
807131,115 SELETAR HILLS DR
429857,115A CARPMAEL RD
98226,116 COVE DR
820116,116 EDGEFIELD PLAINS
289571,116 ENG NEO AVE
228710,116 MACKENZIE RD
467115,116 SENNETT AVE
806729,116 SUNRISE AVE
98747,116A WISHART RD
151117,117 BT MERAH VIEW
554577,117 CHUAN DR
269393,117 CORONATION RD WEST
239880,117 DEVONSHIRE RD
820117,117 EDGEFIELD PLAINS
457981,117 GREENFIELD DR
610117,117 HO CHING RD
424529,117 ONAN RD
610118,118 CORPORATION DR
820118,118 EDGEFIELD PLAINS
428642,118 EVERITT RD
427845,118 JOO CHIAT PL
427407,118 JOO CHIAT RD
758822,118 KING'S AVE
598105,118A LOR KISMIS
98101,119 COVE DR
278563,119 HOLLAND RD
427408,119 JOO CHIAT RD
308405,119 KENG LEE RD
269858,11A BELMONT RD
559155,11A BRIGHTON CRES
549629,11A EE TEOW LENG RD
489185,11A JLN ANGIN LAUT
418296,11A JLN SENANG
268251,11A JLN SIANTAN
457141,11A JLN ULU SIGLAP
417547,11A LENGKONG LIMA
267775,11A LIM TAI SEE WALK
426367,11A LOR 110 CHANGI
308048,11A MOUNT ROSIE RD
266662,11A SECOND AVE
425297,11B LOR M TELOK KURAU
347480,11B PUAY HEE AVE
546150,11B ROSYTH RD
546076,11B SANDILANDS RD
546330,11C RICHARDS PL
546337,11C RICHARDS PL
544890,11C ROSYTH RD
257826,11C STEVENS RD
69692,12 ANN SIANG RD
460012,12 BEDOK STH AVE 2
436592,12 BOURNEMOUTH RD
249890,12 CABLE RD
486353,12 CHANGI STH LANE
279864,12 CHERRY AVE
619868,12 CHIN BEE DR
459599,12 COLDSTREAM AVE
268894,12 DUKE'S RD
359375,12 DUNSFOLD DR
400012,12 EUNOS CRES
438945,12 GRAY LANE
739829,12 JLN DINDING
268485,12 JLN HARUM
128798,12 JLN LEMPENG
278035,12 JLN PUTEH JERNEH
418709,12 JLN RIMAU
298978,12 JLN TEMPUA
548397,12 JANSEN RD
128541,12 JUBILEE RD
466303,12 KEW AVE
466225,12 KEW CRES
467955,12 KEW DR
628879,12 KIAN TECK CRES
267863,12 LEEDON RD
417548,12 LENGKONG LIMA
467814,12 LIMAU GROVE
298695,12 LORNIE RD
348745,12 LOR BAKAR BATU
370012,12 MERPATI RD
358429,12 MUSWELL HILL
98107,12 PEARL ISLAND
328365,12 PEGU RD
266743,12 QUEEN'S RD
424288,12 RAMBUTAN RD
437408,12 RINGWOOD RD
258293,12 ROBIN CL
437373,12 ROSE LANE
288287,12 SIME RD
787918,12 SPRINGLEAF VIEW
424075,12 STANGEE PL
597399,12 SUNSET HTS
797919,12 SUSSEX GARDEN
535496,12 TAI KENG AVE
534233,12 TAI SENG LINK
574841,12 THOMSON HTS
638486,12 TUAS RD
638039,12 TUAS STH ST 2
618303,12 TUKANG INNOVATION DR
58410,12 UPP CIRCULAR RD
436641,12 WIMBORNE RD
738283,12 WOODLANDS LOOP
88264,12 YAN KIT RD
439635,120 BRANKSOME RD
269344,120 CORONATION RD WEST
68913,120 ROBINSON RD
387312,1208 UPP BOON KENG RD
488764,120A JLN PARI BURONG
498928,120G TANAH MERAH BESAR LANE
498938,120J TANAH MERAH BESAR LANE
151121,121 BT MERAH VIEW
68590,121 TELOK AYER ST
423805,121 TELOK KURAU RD
297813,121 WHITLEY RD
739009,121 WOODLANDS AVE 5
610121,121 YUAN CHING RD
429696,122 CEYLON RD
269518,122 CORONATION RD
789333,122 LENTOR GREEN
228711,122 MACKENZIE RD
610122,122 YUAN CHING RD
498919,122G TANAH MERAH BESAR LANE
560123,123 ANG MO KIO AVE 6
439639,123 BRANKSOME RD
150123,123 BT MERAH LANE 1
151123,123 BT MERAH VIEW
789847,123 COUNTRYSIDE RD
98057,123 COVE DR
427412,123 JOO CHIAT RD
424910,123 MARSHALL RD
535404,123 TAI KENG GDNS
297818,123B WHITLEY RD
269519,124 CORONATION RD
160124,124 KIM TIAN PL
758825,124 KING'S AVE
424536,124 ONAN RD
786454,124 SPRINGSIDE AVE
560125,125 ANG MO KIO AVE 6
150125,125 BT MERAH LANE 1
427854,125 JOO CHIAT PL
427272,125 JOO CHIAT TER
786092,125 SPRINGSIDE VIEW
208513,125B KITCHENER RD
637984,126 YUNNAN CRES
469400,127 BEDOK RD
439643,127 BRANKSOME RD
218931,127 OWEN RD
98265,128 COVE DR
427858,128 JOO CHIAT PL
424915,128 MARSHALL RD
297916,128 UNIVERSITY RD
429871,129 CARPMAEL RD
269395,129 CORONATION RD WEST
789850,129 COUNTRYSIDE RD
257868,129 STEVENS RD
468843,12A JLN HAJI SALAM
418710,12A JLN RIMAU
537303,12A JLN TELITI
598293,12A KING ALBERT PK
298696,12A LORNIE RD
426179,12A LOR G TELOK KURAU
438108,12A LYNDHURST RD
546247,12A ROSYTH AVE
424230,12A SEA AVE
597246,12A SUNSET VALE
439479,12B BRDRICK RD
249791,12B CHATSWORTH RD
589109,12B HUA GUAN AVE
298988,12B JLN TEMPUA
465555,12B KEW DR
598294,12B KING ALBERT PK
298317,12B NAROOMA RD
257829,12B STEVENS RD
436759,12B WILKINSON RD
459187,12C EAST COAST AVE
249768,12D CHATSWORTH RD
439484,12G BRDRICK RD
457150,12H JLN ULU SIGLAP
288297,12K SIME RD
289973,13 ADAM DR
460013,13 BEDOK STH RD
309628,13 CHANCERY HILL WALK
429523,13 CHAPEL RD
554782,13 CHUAN LINK
259622,13 CLUNY PK
419448,13 JLN GRISEK
468665,13 JLN KATHI
769379,13 JLN SHAER
537304,13 JLN TELITI
466375,13 KEW CRES
628878,13 KIAN TECK CRES
426586,13 LOR 104 CHANGI
417059,13 LOR MARZUKI
467567,13 LUCKY HTS
370013,13 MERPATI RD
190013,13 NTH BRIDGE RD
798416,13 OXFORD ST
467288,13 PARBURY AVE
328321,13 PROME RD
786416,13 SPRINGSIDE PL
423541,13 TEMBELING RD
58411,13 UPP CIRCULAR RD
266534,13 VICTORIA PK RD
117844,13 WESTRIDGE WALK
162013,13 YORK HILL
428815,130 EAST COAST RD
588632,130 JLN KG CHANTEK
427861,130 JOO CHIAT PL
118548,130 PASIR PANJANG RD
596436,130 YUK TONG AVE
429873,130A CARPMAEL RD
428657,130B EVERITT RD
488782,130B JLN PARI BURONG
189639,131 BENCOOLEN ST
554585,131 CHUAN DR
786095,131 SPRINGSIDE VIEW
269523,132 CORONATION RD
269526,132 CORONATION RD
428658,132 EVERITT RD
208850,132 JLN BESAR
268167,132 KING'S RD
425960,132 LOR J TELOK KURAU
436974,132 TANJONG KATONG RD
228186,132D SOPHIA RD
429879,133 CARPMAEL RD
239888,133 DEVONSHIRE RD
425770,133 LOR K TELOK KURAU
458241,133A FRANKEL AVE
98088,134 COVE DR
428659,134 EVERITT RD
268168,134 KING'S RD
436975,134 TANJONG KATONG RD
287601,134 WATTEN ESTATE RD
229837,135 BT TIMAH RD
789856,135 COUNTRYSIDE RD
368363,135 JOO SENG RD
460136,136 BEDOK NTH AVE 3
229838,136 BT TIMAH RD
368360,136 JOO SENG RD
88865,136 NEIL RD
786460,136 SPRINGSIDE AVE
436976,136 TANJONG KATONG RD
425965,136A LOR J TELOK KURAU
554588,137 CHUAN DR
68602,137 TELOK AYER ST
109683,138 DEPOT RD
418503,138 JLN SENANG
368361,138 JOO SENG RD
68603,138 TELOK AYER ST
637990,138 YUNNAN CRES
368362,139 JOO SENG RD
357872,139B WOODLEIGH PK
574115,13E BRIGHT HILL CRES
469917,14 BEDOK AVE
469832,14 BEDOK GARDEN
629953,14 BENOI PL
629887,14 BENOI RD
436591,14 BOURNEMOUTH RD
559158,14 BRIGHTON CRES
439485,14 BRDRICK RD
249891,14 CABLE RD
554750,14 CHUAN VIEW
269418,14 CORONATION RD
789730,14 COUNTRYSIDE VIEW
359435,14 DAISY RD
259168,14 FERNHILL CRES
629763,14 FIFTH LOK YANG RD
549403,14 FLOWER RD
489376,14 HARVEY CRES
757274,14 INGGU RD
428432,14 JAGO CL
428384,14 JLN BAIDURI
468708,14 JLN HAJIJAH
468666,14 JLN KATHI
159356,14 JLN KILANG BARAT
128799,14 JLN LEMPENG
368814,14 JLN MESIN
288799,14 JLN PANDAN
418148,14 JLN SENYUM
547981,14 LANGE RD
258599,14 LEWIS RD
718879,14 LIM CHU KANG LANE 9A
267779,14 LIM TAI SEE WALK
467816,14 LIMAU GROVE
536987,14 LITTLE RD
426480,14 LOR 106 CHANGI
119140,14 LOR SARHAD
149162,14 MERINO CRES
370014,14 MERPATI RD
487745,14 PEAKVILLE GROVE
546938,14 PHILLIPS AVE
787004,14 SPRINGSIDE AVE
786967,14 SPRINGSIDE DR
257953,14 STEVENS CL
806475,14 SUNRISE LANE
597501,14 SUNSET CRES
596981,14 TOH TUCK CL
455341,14 TUA KONG TER
639229,14 TUAS AVE 8
638680,14 TUAS DR 1
436671,14 WILKINSON RD
638145,14 YUNNAN WALK 2
88869,140 NEIL RD
287625,140A WATTEN ESTATE RD
545589,140B YIO CHU KANG RD
208859,141 JLN BESAR
575264,141 TAMAN PERMATA
545592,141B YIO CHU KANG RD
545593,141C YIO CHU KANG RD
629602,142 GUL CIRCLE
466315,142 KEW DR
425972,142 LOR J TELOK KURAU
228721,142 MACKENZIE RD
287630,142A WATTEN ESTATE RD
730144,144 WOODLANDS ST 13
730145,144 WOODLANDS ST 13
519845,145 ELIAS TER
88875,146 NEIL RD
350146,146 POTONG PASIR AVE 1
68909,146 ROBINSON RD
438770,147 HAIG RD
730147,147 WOODLANDS ST 13
429709,148 CEYLON RD
310148,148 LOR 1 TOA PAYOH
350148,148 POTONG PASIR AVE 1
427291,148A JOO CHIAT TER
629605,149 GUL CIRCLE
98380,149 OCEAN DR
627515,14A JOO KOON CIRCLE
417422,14A LENGKONG TIGA
438096,14A LYNDHURST RD
456620,14A NALLUR RD
437499,14A POOLE RD
418713,14B JLN RIMAU
437296,14C SERAYA LANE
548934,14F HILLSIDE DR
548936,14H HILLSIDE DR
455004,14K SIGLAP RD
455033,14K SIGLAP RD
289934,15 ADAM PK
269939,15 ASTRID HILL
339847,15 BENG WAN RD
439551,15 BRANKSOME RD
498770,15 CHANGI NTH WAY
249820,15 CHATSWORTH PK
249769,15 CHATSWORTH RD
599739,15 CHEONG CHIN NAM RD
429471,15 CHEOW KENG RD
259673,15 CLUNY HILL
558260,15 CONWAY CIRCLE
558148,15 CORFE PL
269643,15 CORNWALL GDNS
789886,15 COUNTRYSIDE PL
459456,15 DRYBURGH AVE
429165,15 DUKU RD
89481,15 DUXTON RD
486417,15 EASTWOOD DR
629466,15 GUL DR
549270,15 HENDRY CL
538493,15 HOW SUN RD
268521,15 JLN HAJI ALIAS
768154,15 JLN JERUJU
278208,15 JLN KELABU ASAP
419040,15 JLN LANA
418975,15 JLN LAPANG
509301,15 JLN MARIAM
199147,15 JLN PINANG
428326,15 JLN SOTONG
247716,15 JERVOIS HILL
649490,15 JURONG WEST AVE 5
427098,15 KARIKAL LANE
89122,15 KEONG SAIK RD
466300,15 KEW AVE
628718,15 KWONG MIN RD
267891,15 LEEDON PK
536998,15 LIM TECK BOO RD
310015,15 LOR 7 TOA PAYOH
426338,15 LOR BANDANG
438097,15 LYNDHURST RD
298422,15 MERRYN TER
307951,15 NEWTON RD
128470,15 PANDAN CRES
609263,15 PANDAN RD
547243,15 PARRY AVE
546940,15 PHILLIPS AVE
266882,15 QUEEN ASTRID GDNS
248265,15 ROCHALIE DR
298205,15 ROSS AVE
424133,15 SAINT PATRICK'S RD
807030,15 SELETAR HILLS DR
758168,15 SENOKO LOOP
554360,15 SERANGOON NTH AVE 5
628078,15 SOON LEE RD
786918,15 SPRINGSIDE GREEN
535562,15 SURIN LANE
535499,15 TAI KENG AVE
637432,15 TUAS VIEW PL
266495,15 VICTORIA PK RD
738322,15 WOODLANDS LOOP
359933,150 BRADDELL RD
650150,150 BT BATOK ST 11
429712,150 CEYLON RD
426795,150 LANGSAT RD
310150,150 LOR 1 TOA PAYOH
218945,150 OWEN RD
247969,150 TANGLIN RD
730150,150 WOODLANDS ST 13
427293,150A JOO CHIAT TER
269367,150B CORONATION RD WEST
269368,150C CORONATION RD WEST
428854,150T EAST COAST RD
429894,151 CARPMAEL RD
127369,151 WEST COAST RD
650152,152 BT BATOK ST 11
269371,152 CORONATION RD WEST
428685,152 EVERITT RD
418510,152 JLN SENANG
637997,152 YUNNAN CRES
428859,152H EAST COAST RD
650153,153 BT BATOK ST 11
424554,153 ONAN RD
807009,153 SELETAR RD
730153,153 WOODLANDS ST 13
269175,154 DUCHESS AVE
786373,154 SPRINGSIDE AVE
535429,154 TAI KENG GDNS
269374,154A CORONATION RD WEST
188977,155 MIDDLE RD
424556,155 ONAN RD
428687,156 EVERITT RD
629613,156 GUL CIRCLE
730156,156 WOODLANDS ST 13
650157,157 BT BATOK ST 11
429719,157 CEYLON RD
298345,157 MOUNT PLEASANT RD
550157,157 SERANGOON NTH AVE 1
276534,157 SIXTH AVE
509402,157V JLN LOYANG BESAR
650158,158 BT BATOK ST 11
69545,158 CECIL ST
786884,158 COUNTRYSIDE RD
428866,158 EAST COAST RD
598652,158F JLN JURONG KECHIL
266340,159 DUCHESS AVE
545613,159 YIO CHU KANG RD
535159,159F TAMPINES RD
548274,15A KANG CHOO BIN RD
348957,15A KEE CHOE AVE
779304,15A MENG SUAN RD
467332,15A PARBURY AVE
555923,15A SERANGOON GARDEN WAY
548275,15B KANG CHOO BIN RD
555818,15B SAINT HELIER'S AVE
609265,15C PANDAN RD
546341,15C RICHARDS PL
249773,15D CHATSWORTH RD
548822,15D JLN ARIF
467939,15D LIMAU GARDEN
299950,16 ANDREW RD
739961,16 ASHWOOD GROVE
574006,16 BRIGHT HILL DR
309507,16 CHANCERY LANE
498772,16 CHANGI NTH WAY
119728,16 CHWEE CHIAN VIEW
259684,16 CLUNY HILL
789933,16 COUNTRYSIDE LINK
789887,16 COUNTRYSIDE PL
89482,16 DUXTON RD
429111,16 EAN KIAM PL
459194,16 EAST COAST AVE
259170,16 FERNHILL CRES
69254,16 GEMMILL LANE
399911,16 GUILLEMARD CRES
119644,16 GUOK AVE
538643,16 HOW SUN CL
229128,16 JLN ARUAN
159308,16 JLN KILANG TIMOR
128800,16 JLN LEMPENG
368815,16 JLN MESIN
418715,16 JLN RIMAU
537308,16 JLN TELITI
588468,16 JLN WAJEK
339156,16 KALLANG PL
427099,16 KARIKAL LANE
248932,16 KAY SIANG RD
628749,16 KIAN TECK WAY
267967,16 KINGSMEAD RD
258681,16 LADY HILL RD
258683,16 LADY HILL RD
267862,16 LEEDON RD
417693,16 LENGKONG DUA
417425,16 LENGKONG TIGA
258601,16 LEWIS RD
267782,16 LIM TAI SEE WALK
426482,16 LOR 106 CHANGI
388708,16 LOR 11 GEYLANG
425799,16 LOR J TELOK KURAU
425434,16 LOR L TELOK KURAU
425304,16 LOR M TELOK KURAU
467523,16 LUCKY RISE
437661,16 PKSTONE RD
188595,16 PURVIS ST
546301,16 ROBEY CRES
437330,16 SANDY LANE
807168,16 SELETAR CRES
597568,16 SHAMAH TER
545901,16 SIMON RD
257911,16 STEVENS DR
597313,16 SUNSET SQUARE
437215,16 SWANAGE RD
535500,16 TAI KENG AVE
535297,16 TAI KENG GDNS
535267,16 TAI KENG LANE
534138,16 TAI SENG ST
639413,16 TUAS AVE 3
787158,16 TUNG PO AVE
207279,16 VERDUN RD
588098,16 WAJEK WALK
426785,160 LANGSAT RD
298351,160 MOUNT PLEASANT RD
424561,160 ONAN RD
786370,160 SPRINGSIDE AVE
821160,160A PUNGGOL CTRL
822160,160B PUNGGOL CTRL
537632,161 JLN PELIKAT
349247,161 KALLANG WAY
449527,161 MARINE PARADE
429723,161A CEYLON RD
469411,162 BEDOK RD
150162,162 BT MERAH CTRL
507439,162 LOYANG RISE
218603,162 RACE COURSE RD
760162,162 YISHUN ST 11
821162,162A PUNGGOL CTRL
429902,163 CARPMAEL RD
786889,163 COUNTRYSIDE RD
266342,163 DUCHESS AVE
821163,163A PUNGGOL CTRL
455261,163A UPP EAST COAST RD
822163,163B PUNGGOL CTRL
429726,164 CEYLON RD
427438,164 JOO CHIAT RD
437951,164 MEYER RD
429727,165 CEYLON RD
308091,165 MOULMEIN RD
821165,165A PUNGGOL CTRL
822165,165B PUNGGOL CTRL
150166,166 BT MERAH CTRL
730166,166 WOODLANDS ST 13
821166,166A PUNGGOL CTRL
